,margin_debt,market_cap,ratio,pctl,zscore,delta_12m,delta_pctl
2014-09-30,503901,20760460.0,2.427215003906465,82.54716981132076,0.5133472967186998,0.02013209019569251,37.81512605042017
2014-10-31,492888,21256740.0,2.318737492202473,68.54460093896714,0.04292851376752571,-0.05954330420965359,24.369747899159663
2014-11-30,496341,21731180.0,2.284003905908469,64.01869158878505,-0.12356263024696561,-0.09272221996618102,19.327731092436977
2014-12-31,495756,21669860.0,2.287767433661316,64.65116279069767,-0.12672891256230473,-0.14043347743036527,16.80672268907563
2015-01-31,485872,21060440.0,2.307036320228827,67.12962962962963,-0.05769861687660331,-0.2448761393895813,7.563025210084033
2015-02-28,504923,22212340.0,2.2731643761980953,62.21198156682027,-0.2282914471482578,-0.2439912233855983,8.403361344537815
2015-03-31,518055,21947910.0,2.360384200591309,73.39449541284404,0.1563582493018361,-0.07976260869714391,24.369747899159663
2015-04-30,549964,22034300.0,2.4959449585419096,91.78082191780823,0.7708869176195438,0.11518940138313472,62.18487394957983
2015-05-31,541671,22259700.0,2.4334155446838905,84.0909090909091,0.46479333318769683,0.09729492556735275,59.66386554621849
2015-06-30,547957,21841750.0,2.508759600306752,91.8552036199095,0.8140263746793,0.10126183155729684,61.34453781512605
2015-07-31,530744,22180070.0,2.3928869476065673,76.57657657657657,0.23493065248281958,-0.0502840975405876,31.092436974789916
2015-08-31,515960,20802970.0,2.480222775882482,89.68609865470853,0.6572240588241592,0.1207869871504128,66.38655462184873
2015-09-30,497279,20119280.0,2.4716540552146995,87.94642857142857,0.601134794779232,0.04443905130823467,47.89915966386555
2015-10-31,513941,21648510.0,2.3740248174123764,72.88888888888889,0.08517052487509941,0.055287325209903315,51.26050420168067
2015-11-30,515410,21658550.0,2.379706859415797,74.33628318584071,0.09764569491599429,0.09570295350732794,62.18487394957983
2015-12-31,503444,21167860.0,2.3783415045262015,74.00881057268722,0.07290829365240462,0.09057407086488567,62.18487394957983
2016-01-31,487200,19926100.0,2.4450344021158177,85.96491228070175,0.4212711722831061,0.1379980818869906,72.26890756302521
2016-02-29,474156,19864020.0,2.387009276067986,74.67248908296943,0.08159025965362546,0.11384489986989088,65.54621848739495
2016-03-31,483909,21224320.0,2.279974105177457,59.56521739130435,-0.5513481867434666,-0.08041009541385202,24.369747899159663
2016-04-30,495178,21377590.0,2.3163415520645687,64.93506493506493,-0.36346887053659466,-0.17960340647734085,15.966386554621847
2016-05-31,489867,21701470.0,2.257298699120382,57.327586206896555,-0.7404279772476838,-0.17611684556350848,16.80672268907563
2016-06-30,487636,21711380.0,2.2459926545433775,54.93562231759657,-0.8442157182294079,-0.26276694576337434,7.563025210084033
2016-07-31,513221,22547920.0,2.27613456141409,58.97435897435898,-0.6869164284369726,-0.11675238619247708,22.689075630252102
2016-08-31,510157,22561220.0,2.2612119380068987,57.446808510638306,-0.8299498141418982,-0.2190108378755835,13.445378151260504
2016-09-30,540615,22576670.0,2.3945736904512493,76.69491525423729,0.02213313693877346,-0.07708036476345015,31.092436974789916
2016-10-31,523760,22072490.0,2.372908539090968,71.72995780590718,-0.15615464361847528,-0.0011162783214082594,42.016806722689076
2016-11-30,539972,22991070.0,2.3486162236033383,69.32773109243698,-0.3503922459050123,-0.031090635812458522,40.33613445378151
2016-12-31,529372,23425860.0,2.2597761618997128,56.48535564853556,-1.0122472147718904,-0.11856534262648877,23.52941176470588
2017-01-31,553557,23847210.0,2.321265254929193,66.66666666666666,-0.5812800499374947,-0.1237691471866249,23.52941176470588
2017-02-28,568637,24609790.0,2.3106129715044297,63.48547717842323,-0.6661502648075118,-0.0763963045635565,33.61344537815126
2017-03-31,577674,24624720.0,2.3459109382766585,69.00826446280992,-0.4158495313450092,0.0659368330992014,61.34453781512605
2017-04-30,590797,24878480.0,2.3747310928963508,72.8395061728395,-0.20581165695895287,0.05838954083178205,57.98319327731093
2017-05-31,582764,25041340.0,2.327207729298831,66.80327868852459,-0.5539575976302089,0.06990903017844907,63.02521008403361
2017-06-30,584258,25230410.0,2.315689677654862,63.6734693877551,-0.628654685426619,0.0696970231114844,63.02521008403361
2017-07-31,594414,25685190.0,2.3142285496038766,63.41463414634146,-0.6366232907708226,0.038093988189786376,53.78151260504202
2017-08-31,596567,25657960.0,2.3250757269868685,66.80161943319838,-0.5413568539426894,0.0638637889799698,63.02521008403361
2017-09-30,606334,26233340.0,2.3113107213949884,62.096774193548384,-0.6494950901620995,-0.08326296905626096,30.252100840336134
2017-10-31,607838,26760190.0,2.2714263239536043,55.42168674698795,-0.9568046540192565,-0.10148221513736377,27.73109243697479
2017-11-30,627422,27493380.0,2.2820839052892006,57.99999999999999,-0.856961577438261,-0.06653231831413775,36.97478991596639
2017-12-31,642798,27794170.0,2.31270802474044,62.94820717131474,-0.6049037985153993,0.05293186284072737,60.50420168067227
2018-01-31,665716,29237480.0,2.2769267392401806,56.34920634920635,-0.8789671983933735,-0.04433851568901215,42.016806722689076
2018-02-28,645064,28117020.0,2.2942118332597126,60.47430830039525,-0.7395985069185521,-0.016401138244717117,48.739495798319325
2018-03-31,645235,27410720.0,2.3539513008049404,70.86614173228347,-0.21599973229721103,0.008040362528281886,52.94117647058824
2018-04-30,652303,27520950.0,2.370205243641662,72.94117647058823,-0.0748198925925486,-0.004525849254688907,49.57983193277311
2018-05-31,668940,28218460.0,2.3705758570807904,73.046875,-0.06981741979636996,0.04336812778195931,60.50420168067227
2018-06-30,646931,28394130.0,2.2783969785304214,55.6420233463035,-0.8596806958245178,-0.03729269912444044,43.69747899159664
